item_id,product,category,unit,price_eur,best_before_days,expiry_date,quantity_available,in_rescue,origin
HP-1001,Sourdough baguette,Bakery,loaf,2.50,1,2026-08-06,18,Y,Ireland
HP-1002,Seeded farmhouse loaf,Bakery,loaf,3.20,2,2026-08-07,9,N,Ireland
HP-1003,Buttermilk scones (box of 4),Bakery,box,3.00,1,2026-08-06,6,Y,Ireland
HP-1004,Croissant,Bakery,each,1.80,1,2026-08-06,12,N,Ireland
HP-1005,Rye sourdough,Bakery,loaf,3.60,4,2026-08-09,14,N,Ireland
HP-1006,Irish strawberries (punnet),Fruit,punnet,3.50,1,2026-08-06,22,Y,Wexford
HP-1007,Granny Smith apples,Fruit,kg,2.20,5,2026-08-10,40,N,France
HP-1008,Blood oranges,Fruit,kg,2.80,2,2026-08-07,8,N,Spain
HP-1009,Cavolo nero,Vegetables,bunch,1.90,1,2026-08-06,15,N,Ireland
HP-1010,Rainbow chard,Vegetables,bunch,1.80,2,2026-08-07,11,N,Ireland
HP-1011,Baby spinach,Vegetables,bag,2.00,1,2026-08-06,20,Y,Ireland
HP-1012,Flat-cap mushrooms,Vegetables,box,2.40,3,2026-08-08,7,N,Ireland
HP-1013,Potatoes (rooster),Vegetables,kg,1.60,14,2026-08-19,60,N,Ireland
HP-1014,Dublin cheddar (200g),Deli,pack,4.50,6,2026-08-11,5,N,Ireland
HP-1015,Smoked mackerel fillets,Deli,pack,5.20,3,2026-08-08,4,Y,Isle of Man
HP-1016,Green olive tapenade (180g),Deli,jar,3.40,10,2026-08-15,6,N,Italy
HP-1017,Irish yogurt (500g),Dairy,pot,2.10,4,2026-08-09,13,Y,Ireland
HP-1018,Skimmed milk (1L),Dairy,carton,1.30,5,2026-08-10,24,N,Ireland
HP-1019,Free-range eggs (6),Dairy,box,2.60,7,2026-08-12,30,N,Ireland
HP-1020,Wholegrain oats (500g),Storecupboard,bag,1.70,90,2026-11-03,45,N,Scotland
HP-1021,Crunchy peanut butter (340g),Storecupboard,jar,2.90,120,2026-12-03,30,N,Ireland
